Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,ยอดเงินยกมาจากเดือน ก.ย 2568,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,212871.55,ยอดเงินโอนข้ามเดือน,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,ยอดเงินโอนออกยกมาจากเดือน ก.ย 2568,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,8774.470000000001,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
No.มีผู้เช่า,Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน (ต.ค) 2568 (บาท),Internet จ่ายพร้อมค่าเช่า ต.ค,Internet จ่ายแยกจากค่าเช่า,วันที่จ่าย ค่าเช่าในเดือน (ต.ค),จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ย,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,ค่า Internet,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,ค่าใช้จ่ายทั้งสิ้น,คืนประกัน router,ยอดเงินโอนคืนผู้เช่าย้ายออก (ต.ค),วันที่คืนเงินย้ายออก (ต.ค),เงินโอนคืนผู้เช่าย้ายออก (พ.ย),วันที่คืนเงินย้ายออก (พ.ย),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
,ผู้รับเหมาคุณน้ำฝน,,,,,0,416,0,466,0,,50,,,,,0,500,0,,,,,5/11/2568,500,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,1,จั๊มไฟ,1001,Suite,137,124,138,127,1,3,,,,,,30,30,0,,,,,7/11/2569,60,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,-,-,-,-,-,-,5000,,2 เดือน,,ชำระแล้ว,
,E,2,ว่าง,1002,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,3,ว่าง,1003,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,4,ออฟฟิศ,1004,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,5,ออฟฟิศ2,1005,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,6,OUT,1006,Suite,0,0,0,0,0,0,,,,,,0,0,0,,,,,,0,,,13600,13600,2000,0,120,2030,,34,1369,38,1572,4,0,203,17750,,9450,24/10/2568,0,0,24/10/2568,k.ณรงค์ 0581083912,0,9/1/2568,,,,
,E,7,ว่าง,1007,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,8,ว่าง,1008,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,9,ว่าง,1009,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,10,ว่าง,1010,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,11,ไป่หลง,1011,Suite,0,0,0,0,0,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
,E,12,ไป่หลง,1012,Suite,0,0,0,0,0,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
,E,13,ว่าง,1013,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,14,ว่าง,1014,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,15,ว่าง,1015,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,16,ว่าง,1016,Suite,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,,,,
,E,17,ว่าง,1017,Suite,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,,,,
